Date,News,Polarity
11 04 2011,War in Afghanistan destabilising Pakistan: Zardari,0
11 04 2011,US committed to improving relationship with Pakistan: Munter,0
11 04 2011,All stakeholders should be consulted on HEC devolution: PM,0
11 04 2011,Defence ministry vows to punish military officials in NLC scandal,0
11 04 2011,SC adjourns hearing of NRO review petition till tomorrow,0
11 04 2011,Pakistan's spy chief to visit US amid tensions,0
11 04 2011,"Gunfight in Peshawar kills three militants, one policeman",0
11 04 2011,Landmine blast claims three lives in Kurram,0
11 04 2011,NA starts its fourth year today,0
12 04 2011,Relationship with ISI on solid footing: CIA,0
12 04 2011,HEC ‘storm in a teacup’ spills over in NA,0
12 04 2011,Punja Sahib gives festive look as Besakhi begins,0
12 04 2011,Raisani to slash non-development and unnecessary expenditures,0
12 04 2011,Three MQM men ‘helping’ census staff shot dead in Karachi,0
12 04 2011,SC to take up presidential reference for ZAB’s murder case,0
12 04 2011,Pak-US strategic dialogue in May,0
12 04 2011,‘Pakistan’s request for fewer US trainers reflects fear of spying’,0
12 04 2011,Punjab CNG stations to go on strike,0
12 04 2011,Proposed exclusion of Forensic Medicine faces backlash,0
12 04 2011,'IDPs being repatriated to native areas',0
12 04 2011,Pakistan and India cannot afford another war: Gilani,0
12 04 2011,"Balochistan, KP, GB yet to adopt harassment code",0
12 04 2011,Contractual doctors soon to be made permanent: Gilani,0
12 04 2011,Asahi art exhibition opens at the Commune,0
12 04 2011,SC adjourns NRO hearing till April 14,0
12 04 2011,The beauty of doing nothing,0
12 04 2011,"Home ministry given a week to reply in Faheem, Faizan’s heirs case",0
12 04 2011,SC orders HEC to keep operating until law amendment,0
13 04 2011,Eight gunned down in Karachi,0
13 04 2011,ISI chief meets president in Turkey,0
13 04 2011,Terrorists benefiting the most from drone attacks: Malik,0
13 04 2011,Pakistan flood recovery sees $600 mln shortfall,0
13 04 2011,Follow Zardari to Turkey,0
13 04 2011,KP doctors for implementation of charter of demands,0
13 04 2011,Zardari terms acceptance of reference on ZAB as landmark,0
13 04 2011,Illegal immigrants arrested near Pasni,0
13 04 2011,CIA has no plans to suspend drone strikes: report,0
13 04 2011,Six killed in first drone strike after spy chief meeting,0
13 04 2011,Briefing on girls education conference on April 14,0
13 04 2011,PVDP constructs 250 latrines,0
13 04 2011,Government involved in drone attacks: Shahbaz Sharif,0
13 04 2011,Recovering missing persons duty of govt not SC: Justice Javed,0
13 04 2011,Sesame Street beams American dream to Pakistan,0
13 04 2011,CJ irks FIA’s lack of interest in Steel Mills case,0
13 04 2011,"Legal rot, political apathy",0
13 04 2011,$750m earmarked for Pakistan's tribal women,0
13 04 2011,HEC devolution issue divides parties on provincial lines,0
13 04 2011,Women and devolution,0
14 04 2011,"Cleric, student killed in Quetta",0
14 04 2011,Militant's road ends in Pakistan,0
14 04 2011,SC finds flaws in Bhutto reference,0
14 04 2011,Guards using cellphone on duty threaten security in Peshawar,0
14 04 2011,Five more activists gunned down,0
14 04 2011,Punjab govt amend rules for leasing state land,0
14 04 2011,Court rejects Hamid Kazmi’s bail plea,0
14 04 2011,Pakistan army to build road link to Afghanistan,0
14 04 2011,"Unregistered, fake identity sims to be blocked: Malik",0
14 04 2011,The calm vibrancy of Lahore,0
14 04 2011,Two French militants held in Pakistan: sources,0
14 04 2011,Females afraid of repercussions of harassment Act,0
14 04 2011,"Vicious circle of fluoride contamination, illness and poverty",0
14 04 2011,"Gilani to visit Afghanistan, hold talks with Karzai",0
14 04 2011,"PPP, PML-N agree on process of dissolving HEC",0
14 04 2011,"Security forces attack militant hideouts, kill 18",0
14 04 2011,Dr. Salimuzzaman Siddiqui,0
14 04 2011,New plan devised to grant extension to Afghan refugees,0
14 04 2011,Pakistan embassy official shot and wounded in Nepal,0
14 04 2011,CJ for replacement of Awan in judicial commission meeting,0
14 04 2011,CNG stations’ strike continues for second day in Punjab,0
14 04 2011,Pakistan releases 89 Indian prisoners,0
14 04 2011,The Pasha-Panetta puzzle,0
14 04 2011,SC allows counsel change in NRO review case,0
14 04 2011,Pakistan lodges protest against US attack,0
15 04 2011,Army calling the shots in KP: Durrani,0
15 04 2011,Reshuffle in army top brass,0
15 04 2011,Intelligence agencies seize record of two ministries,0
15 04 2011,Prime Minister Gilani calls on president,0
15 04 2011,All Pakistan CNG Association calls off strike,0
15 04 2011,"Gen Pasha meets army chief, gives briefing on foreign trips",0
15 04 2011,Pakistani innovators head to Intel fair in LA,0
15 04 2011,Slow govt development threatens Swat military gains,0
15 04 2011,French pair seized by Pakistan police on Bali trail,0
15 04 2011,Sindh govt issues notification on increase of trasport fare,0
15 04 2011,Highlights from Pakistan,0
15 04 2011,"UNHCR, Unicef to jointly mainstream Afghan refugees",0
15 04 2011,Attorney General asked to submit reply in Davis’ case,0
15 04 2011,LHC hears petition against drone strikes in Pakistan,0
15 04 2011,No political party involved in target killings: Malik,0
15 04 2011,The alphabet jungle,0
15 04 2011,Nepra allows KESC to increase per unit price,0
15 04 2011,Plagued with a short-term memory,0
16 04 2011,Jamaat activist among eight dead in Karachi,0
16 04 2011,Academic entrepreneurialism,0
16 04 2011,"Pakistan, Afghanistan set up joint commission to pursue peace",0
16 04 2011,"Drone attacks cannot be stopped, says Rehman Malik",0
16 04 2011,MQM expresses concern over power tariff hike,0
16 04 2011,Water in Tarbela touches dead level,0
16 04 2011,Judicial Commission deferred judges' appointment issue,0
16 04 2011,Want to make amends with Nawaz Sharif: Musharraf,0
16 04 2011,South Waziristan IDPs repatriation from April 30,0
16 04 2011,Work on small dams underway for water storage,0
16 04 2011,Gilani assures support for “Afghan-led” political settlement,0
16 04 2011,Jashn-e-Faiz: Reaching out to the citizens,0
16 04 2011,Pakistani Consul General visits Dr Aafia in Texas,0
16 04 2011,The spiritual effect,0
16 04 2011,Spy summit fails to resolve US-Pakistan differences,0
16 04 2011,Inflation likely to remain 17pc in next six months,0
16 04 2011,"IMF, WB place India, Pakistan in lower-middle income states",0
16 04 2011,Alien bee sows terror in parts of Sindh,0
16 04 2011,"Rs15bn released to ease crisis faced by IPPs, gas suppliers",0
17 04 2011,"IMF concerned over rising inflation, deficit",0
17 04 2011,NAB deputy chief retires on 30th,0
17 04 2011,ANP supports US-sponsored Taliban talks,0
17 04 2011,Singh’s comment spurs hopes for peace,0
17 04 2011,"Suicide attackers are enemies of Islam, Pakistan: SIC",0
17 04 2011,Bodies of eight people found in Attock,0
17 04 2011,Nato supplies to be blocked during PTI sit-in,0
17 04 2011,Hopes of bumper wheat crop marred in Sindh,0
17 04 2011,MQM calls emergency meeting today,0
17 04 2011,Hafeez seeks development cooperation from economic powers,0
17 04 2011,CJ asks military to keep away from politics,0
18 04 2011,PML-Q sets terms to join federal government,0
18 04 2011,"PPP, MQM workers killed; bus torched in Karachi",0
18 04 2011,The reason terrorism suspects go free,0
18 04 2011,Legal questions missing in Bhutto case reference: SC,0
18 04 2011,"Show-cause notices issued to solicitor general, AoR",0
18 04 2011,Elders meet today to salvage Kurram peace deal,0
18 04 2011,Devolution and HEC,0
18 04 2011,US success linked to Pakistan: Gilani,0
18 04 2011,President signs criminal procedure amendment bill,0
18 04 2011,PM for enforcement of law on mobile SIMs to check crime rate,0
18 04 2011,Five family members murdered in Sargodha,0
18 04 2011,Chic Peshawar,0
18 04 2011,KP assembly approves resolution against drone attacks,0
18 04 2011,Nadra working under land-grabbers: Nisar,0
18 04 2011,Stakeholders to be taken on board for HEC devolution: Rabbani,0
18 04 2011,SC remarks on Bhutto reference case,0
18 04 2011,The children who want to stand up too,0
18 04 2011,"Gilani asks for total revamp of oil, gas sector",0
18 04 2011,PCSIR prepares water purification sachet,0
18 04 2011,Pakistan Railways offers online reservations at 41 stations,0
18 04 2011,"Over 5,000 Baloch to become part of army: Kayani",0
18 04 2011,Indusanity - Performing Arts Festival,0
18 04 2011,SC resumes hearing of NRO review case,0
18 04 2011,Dr Asim appointed petroleum adviser,0
19 04 2011,Educational secularism,0
19 04 2011,PPP committee approves move to expand coalition,0
19 04 2011,Bills seek dual nationality bar on public office,0
19 04 2011,"Teachers harass girl students in Peshawar University, PA told",0
19 04 2011,Worker of MQM-H among six shot dead in Karachi,0
19 04 2011,Government contacts PML-N over accountability bill,0
19 04 2011,Energy shortfall reaches 2700 megawatts,0
19 04 2011,"Gilani seeks UN help in flood forecasting, weather warning system",0
19 04 2011,US Admiral Mullen to visit Pakistan this week,0
19 04 2011,Government offers six ministries to PML-Q,0
19 04 2011,Campus radios or camp followers?,0
19 04 2011,Petition seeks Musharraf's removal from official records,0
19 04 2011,Nato tankers not paying any taxes: senate committee,0
19 04 2011,‘The International Culture Exhibition’,0
19 04 2011,Stillborns: A healthcare dilemma in Pakistan,0
19 04 2011,New policy to be devised for drugs in Pakistan: DG Health,0
19 04 2011,Pakistan test-fires new nuclear-capable missile,0
19 04 2011,Hearing of NRO review case adjourned,0
19 04 2011,US urges Pakistan to continue economic reforms,0
19 04 2011,"‘Pakistan, US at odds over Afghan solution’",0
19 04 2011,Two wounded in Quetta car bomb,0
19 04 2011,FIA official fired `to woo PML-Q`,0
20 04 2011,"Zardari asks Shujaat to woo JUI-F, MQM",0
20 04 2011,HEC will continue to serve higher education: Khosa,0
20 04 2011,Lawmakers share wealth of detail with nation,0
20 04 2011,Nepra allows KESC to raise tariff,0
20 04 2011,Balochistan doctors threaten to quit jobs,0
20 04 2011,PML-N goes overboard in NA protest,0
20 04 2011,PTI won’t be part of national govt: Imran,0
20 04 2011,CM Sindh meets Chinese delegation over Thar coal,0
20 04 2011,The woman who wasn’t there,0
20 04 2011,US says won’t abandon drone program in Pakistan,0
20 04 2011,Rangers policing powers extended amid Karachi killings,0
20 04 2011,Cabinet approves legal questions in Bhutto case,0
20 04 2011,SPSC recommends induction of 668 nurses,0
20 04 2011,"Three killed, one injured in Karachi gun attack",0
20 04 2011,SC rejects govt’s review petition in judges’ appointment case,0
20 04 2011,Spring in the Karakoram,0
20 04 2011,Lal Masjid cleric indicted in Rangers murder case,0
20 04 2011,Mullen visits Pakistan amid tensions over drones,0
20 04 2011,Helicopter carrying six crashes in Sindh,0
20 04 2011,FIA submits Bank of Punjab report to Supreme Court,0
20 04 2011,S. Arabia gives three crore rupees to ministry of religious affairs,0
20 04 2011,Celebrating Faiz,0
21 04 2011,Club where bomb exploded,0
21 04 2011,‘Mohmand’s Suran area cleared of militants’,0
21 04 2011,Blast at a gambling den in Karachi; 15 killed,0
21 04 2011,"Centre, provinces agree to set up water commission",0
21 04 2011,US to supply Pakistan with 85 mini-drones,0
21 04 2011,Five militants killed in Khyber Agency,0
21 04 2011,Govt committed to support rights of Kashmiris: Gilani,0
21 04 2011,"Kashmir committee seeks support of European Parliament, Nato",0
21 04 2011,CNG stations to close for 36 hours from Friday night,0
21 04 2011,PM orders to expedite issuance of passports and CNICs,0
21 04 2011,ISI Chief Shuja Pasha on Time Magazine's 100 list,0
21 04 2011,The diversity in Pakistan,0
21 04 2011,"Mai, women, and Pakistan",0
21 04 2011,‘Sharifs should apologise for staying in exile during Musharraf era’,0
21 04 2011,Pakistan army accuses US of ‘negative propaganda’,0
21 04 2011,Larger bench constituted to hear ZAB case,0
21 04 2011,Pakistan court acquits suspects in Mukhtaran Mai case,0
21 04 2011,'Three Cups' charity pledges 'full transparency',0
21 04 2011,"Lovely, AwaisLovely",0
21 04 2011,"Like army, like nation",0
21 04 2011,Foreign Secretary Salman Bashir arrives in Washington for talks,0
21 04 2011,Pakistan-US talks to seek resolution of issues: Haqqani,0
21 04 2011,Call to improve female education,0
21 04 2011,Govt raises Rs232bn from banks,0
22 04 2011,Pakistan urges US to review drone policy,0
22 04 2011,Punjab’s request for water release rejected,0
22 04 2011,PML-N split on Hashmi`s call for apology,0
22 04 2011,Literacy in restive Fata in free fall,0
22 04 2011,Drive to enhance enrolment in GB schools,0
22 04 2011,HEC at a crossroads,0
22 04 2011,In memory of Moin Akhtar,0
22 04 2011,Gunship helicopters pound militant hideouts in Khyber agency,0
22 04 2011,Increased energy demand linked with greater economic activity: PM,0
22 04 2011,MQM calls for roundtable conference to discuss drone attacks,0
22 04 2011,Nato supply truck driver shot dead near Quetta,0
22 04 2011,Herald exclusive: An interview with Dr. Shoaib Suddle,0
22 04 2011,"Government to provide security, assistance to Mukhtara Mai",0
22 04 2011,No progress in Hajj corruption case: Supreme Court,0
22 04 2011,The business of gold,0
22 04 2011,"Energy shortfall rises to 5,000 megawatts",0
22 04 2011,Guilty or not – does it really matter?,0
22 04 2011,"Take it Mukhtar, that's how we treat our daughters!",0
22 04 2011,Going back to Mukhtar Mai,0
22 04 2011,Herald exclusive: The billion dollar scam,0
22 04 2011,Insurgents kill 14 Pakistani troops: Officials,0
22 04 2011,US drone strike kills 25 in North Waziristan,0
22 04 2011,PU teacher fired for sexual harassment,0
22 04 2011,Universities to be given more autonomy: minister,0
23 04 2011,"Sit-in to continue till victory, says Imran",0
23 04 2011,Warmth is back in ties with Saudi Arabia?,0
23 04 2011,80 MNAs claim they don’t own cars,0
23 04 2011,Suicide bomber kills anti-Taliban leader in Pakistan,0
23 04 2011,Judicial Commission recommends confirmation of 18 Additional Judges,0
23 04 2011,Police arrests seven alleged target killers during last ten days,0
23 04 2011,Keyfacts,0
23 04 2011,Education Crisis in Pakistan,0
23 04 2011,"Moin Akhtar laid to rest, thousands gather at funeral",0
23 04 2011,Musharraf’s interview with DawnNews presented in court,0
23 04 2011,General Kayani says militants’ back broken,0
23 04 2011,Expressions from North Pakistan,0
23 04 2011,Looking for comedy in Pakistan,0
23 04 2011,Fear in Pakistani village dominated by Christians,0
23 04 2011,Security forces kill six militants in Orakzai,0
23 04 2011,Easter in Pakistan,0
23 04 2011,Khyber Pakhtunkhwa to have own HEC,0
25 04 2011,Security forces to secure Parachinar road: Malik,0
25 04 2011,"Ex-ISI men likely behind 26/11 attacks, says Athar",0
25 04 2011,"PML-N office, restaurant attacked in Karachi",0
25 04 2011,"Pakistani, Indian agencies looking for contacts",0
25 04 2011,"PPP, PML-Q `reach accord` on coalition",0
25 04 2011,Fifteen die as bus set on fire near Sibi,0
25 04 2011,"Club blast suspect held in Karachi, arms seized",0
25 04 2011,PML-N not against creation of new provinces: Nisar,0
25 04 2011,Petraeus visits Pakistan for security talks,0
25 04 2011,Moonis Elahi's bail plea rejected,0
25 04 2011,Guantanamo files show ISI listed as ‘terror organisation’,0
25 04 2011,IAEA declares Pakistan nuclear program safe,0
25 04 2011,'Toilet gas' blast damages Peshawar police station,0
25 04 2011,General Kayani did not contact Singh: ISPR,0
25 04 2011,Supreme Court directs NADRA to issue ID cards for eunuchs,0
25 04 2011,SC hears contempt of court case against PPP leaders,0
25 04 2011,"Hafiz Saeed condemns US drone attacks, defends JuD",0
25 04 2011,Pilgrimage to Hinglaj Temple,0
25 04 2011,Herald exclusive: The Faisalabad link,0
25 04 2011,Smart or not,0
25 04 2011,Forgotten victims of Pakistan’s Taliban war,0
25 04 2011,Never said Karachi be made a province: Shahbaz Sharif,0
25 04 2011,A lasting solution for Balochistan,0
27 04 2011,PML-N asks Nawaz to delay homecoming,0
27 04 2011,Mukhtar Mai to file review in a ‘couple of days’,0
27 04 2011,PML-N spearheads rumpus in NA,0
27 04 2011,Four political activists gunned down in Karachi,0
27 04 2011,"Decision on PPP offer soon, says Shujaat",0
27 04 2011,Just three days,0
27 04 2011,Intelligence agencies act under govt's instructions: Gilani,0
27 04 2011,PML-N manifesto reflective of people aspirations: Shahbaz,0
27 04 2011,Malik directs IGPs to preset details of missing persons by April 30,0
27 04 2011,"Pakistan denies reports of efforts to split US, Afghanistan",0
27 04 2011,SC's 11-member bench constituted to take up ZAB reference,0
27 04 2011,A step in the right direction?,0
27 04 2011,'Reforming' the education system,0
27 04 2011,"Nato, Afghan forces attack Pakistani check post; two wounded",0
27 04 2011,"ISI operations enjoy full support of govt, says PM",0
27 04 2011,Use of brute force can't suppress liberation movement: JKSM,0
27 04 2011,Imran Khan’s revolution,0
27 04 2011,"India, Pakistan open trade talks",0
27 04 2011,Public should be out on streets against drone attacks: Shahbaz,0
27 04 2011,President extends services of six high court judges,0
28 04 2011,"Zardari, PML-Q leaders `finalise details of deal`",0
28 04 2011,"‘Graffiti war’ hots up in Hangu, Kohat",0
28 04 2011,Pakistani soldier killed in explosion at camp,0
28 04 2011,CCI agrees to devolve power generation,0
28 04 2011,Osama`s son stayed in Karachi: Wikileaks,0
28 04 2011,Thirty-three insurgents killed in North West,0
28 04 2011,Fresh security steps for forces being planned,0
28 04 2011,"India, Pakistan agree to enhance trade",0
28 04 2011,The Gitmo Files: Conscripts from Pakistan,0
28 04 2011,PEMRA raid over 50 cable networks to block illegal channels telecast,0
28 04 2011,LHC reserves its verdict on Rehman Malik's remission case,0
28 04 2011,SC seeks relevant documents of NAB Deputy Chairman's appointment,0
28 04 2011,Pakistan’s agricultural challenges,0
28 04 2011,Drone attacks: The truth is out,0
28 04 2011,‘Q’ officials have authorised possible inclusion in govt: Elahi,0
28 04 2011,Karachi to Florida,0
28 04 2011,Unity among North Waziristan militant groups crumbles,0
28 04 2011,The glorious façade,0
28 04 2011,At least seven militants killed in Hangu,0
28 04 2011,Five killed in Karachi naval bus attack,0
29 04 2011,MQM’s former lawmaker shot dead in Karachi,0
